_id,author,date,section,sub_title,text,title,url
1,Diario do Centro do Mundo,2019-03-30T18:42:39+00:00,Destaques,N/A,"Eu vou fazer um post explicando de maneira simples as AFPs chilenas, tenho falado com muita gente que entende melhor do que eu, porque não quero falar besteira.,
O Chile é um país maravilhoso, com coisas sensacionais para se copiar, mas o sistema previdenciário e o sistema de saúde não são eles.,“Legenda: “Mario Nuñez, 71 anos. Dirige um ônibus por DEZ horas diárias. Não pode se aposentar, porque 9 EM CADA 10 CHILENOS SE APOSENTA COM MENOS DE CLP$150.000 (R$750). Por obrigação leva sua esposa com ele. Ela tem ALZHEIMER. Ele não pode pagar alguém para cuidar-la. Isso é Chile.”,O salário mínimo chileno é de CLP 290.000. Feitos os descontos obrigatórios, ficam cerca de CLP 240.000. NOVE em cada DEZ chilenos não recebe de aposentadoria nem mesmo o mínimo. Um aluguel em região longe em áreas mais pobres é de CLP 150.000 (R$750). Eu gasto no mercado, mensalmente CLP 60000 (R$ 300).,
O banco BTG Pactual, do Paulo Guedes é um dos bancos que manejam o dinheiro dos fundos de pensões chilenos.,
Por que VOCÊ acha que a primeira viagem do novo governo será para o Chile??,Não importa qual foi o seu voto. Mas essa reforma proposta nos afeta a TODOS.,Não acredita? Digite Banco BTG Pactual+AFP.,
Hoje isso é Chile. Se a Reforma proposta passar, logo será Brasil.",O que são as AFPs chilenas. Por Caroline Quandt,https://www.diariodocentrodomundo.com.br/o-que-sao-as-afps-chilenas-por-caroline-quandt/
2,Joaquim de Carvalho,2019-03-30T18:02:36+00:00,Brasil,N/A,,"VÍDEO - Villa irado desafia o ""ignorante"" Ernesto Araújo para debate: ""Venha aqui se é homem""",https://www.diariodocentrodomundo.com.br/video-villa-irado-desafia-o-ignorante-ernesto-araujo-para-debate-venha-aqui-se-e-homem/
3,Diario do Centro do Mundo,2019-03-20T18:21:36+00:00,Destaques,N/A,"Por unanimidade, um júri dos Estados Unidos considerou que o herbicida à base de glifosato da empresa Bayer, o Roundup, foi o causador do linfoma não-Hodgkin no cidadão californiano Edwin Hardeman. O julgamento ocorreu nesta terça-feira (19) na corte federal de São Francisco. A decisão abre caminho para que o tribunal determine se a Monsanto, unidade da Bayer, terá que pagar uma indenização a Hardeman pelo dano causado.,Segundo a advogada e integrante da organização Terra de Direitos, Nayara Bittencourt, embora o Brasil tenha soberania para tomar decisões no campo jurídico, a sentença da corte de São Francisco deveria acender um sinal de alerta nas autoridades brasileiras sobre os riscos da ampla utilização desse produto na agricultura.,“Eu acredito que, tendo esse precedente no panorama internacional, especialmente nos Estados Unidos, que é um país onde também tem um agronegócio muito forte e tem um alto índice do glifosato, do Roundup, desses produtos altamente tóxicos, significa que o Judiciário brasileiro, especialmente as autoridades brasileiras que estão no momento de avanço da flexibilização de agrotóxicos, de ingredientes ativos, vão ter que de alguma forma olhar para esse tipo de decisão e considerar nas análises internas”, afirma.,Bittencourt acrescenta que o governo de Jair Bolsonaro tem tratado de flexibilizar os mecanismos de controle do uso de agrotóxicos no Brasil. Segundo ela, somente este ano, mais de 80 novos produtos adquiriram autorização de uso no país. O quadro pode piorar se for aprovado o chamado ,, uma série de medidas legais que tramitam no Congresso Nacional com o objetivo de facilitar o registro de novos químicos para o uso agrícola no Brasil.,“Com certeza, ficou muito mais fácil de se aprovar tanto ingredientes ativos como os próprios produtos finais no Brasil. Isso pode piorar com o ‘pacote do veneno’, esse projeto que está em trâmite na Câmara dos Deputados. Porque vai ser legalizado, por exemplo, a autorização para registros temporários, vai ser criada quase uma indústria de registros temporários de agrotóxicos, porque o Estado não vai dar conta de cumprir os prazos que o poder legislativo estabelecerá para a autorização do registro de agrotóxicos”, lembra.,O Roundup é um herbicida à base de glifosato utilizado no combate de pragas na agricultura. Em 2017, o governo da França anunciou que o produto seria banido do país em um prazo de três anos, em resposta aos danos à saúde das populações e ao meio ambiente.,Enquanto isso, no Brasil, o glifosato é o herbicida de uso mais utilizado na agricultura. Telma Nery, médica sanitarista e pesquisadora do tema, afirma que o próprio Ministério da Saúde já publicou pesquisa relacionando o uso do glifosato com intoxicações agudas provocadas em seres humanos:,“O próprio Ministério da Saúde publicou em dezembro de 2018 uma análise sobre o uso do glifosato no Brasil nos últimos seis anos e correlacionando com as intoxicações agudas. Foi a primeira vez que um órgão federal fez isso, além das instituições ligadas a movimentos sociais que identificaram não só as intoxicações agudas, mas doenças hepáticas, câncer, enfim”.,Nos Estados Unidos, mais de 11 mil processos estão relacionados ao uso do glifosato.,A Bayer se pronunciou sobre o resultado do julgamento por meio de nota, afirmando que a decisão do júri “é decepcionante”, de acordo com os interesses da empresa. “Estamos confiantes de que as evidências na fase dois mostrarão que a conduta da Monsanto foi apropriada e que a empresa não deve ser responsabilizada pelo câncer do Sr. Hardeman”, disse o comunicado. A empresa argumenta que realizou estudos e avaliações regulatórias que afirmam a segurança do produto para uso humano.",Júri nos EUA considera que o herbicida mais usado no Brasil causa câncer,https://www.diariodocentrodomundo.com.br/juri-nos-eua-considera-que-o-herbicida-mais-usado-no-brasil-causa-cancer/
4,Pedro Zambarda de Araujo,2019-03-23T17:02:11+00:00,Destaques,N/A,,"VÍDEO: ""Brasil se prepara para tornar metade de seus trabalhadores mais pobres"", diz jornalista do Valor",https://www.diariodocentrodomundo.com.br/video-brasil-se-prepara-para-tornar-metade-de-seus-trabalhadores-mais-pobres-diz-jornalista-do-valor/
5,Diario do Centro do Mundo,2019-03-25T20:12:23+00:00,Brasil,N/A,"O Conselho Federal de Economia (Cofecon) divulgou nota criticando o projeto de “reforma” da Previdência do governo Bolsonaro. Baseada numa ideia “contracionista”, que acredita que o corte de gastos do governo pode estimular o crescimento,
– descreditada entre os economistas internacionais –, a proposta tende a não funcionar, segundo o conselho, que refuta a tese de um desastre iminente caso o sistema de aposentadorias não seja mexido. “Mesmo que funcione, crescer concentrando renda melhoraria a qualidade de vida de poucos, não sendo o que o economista deve buscar.”,Eles dizem ser “inaceitável” que o governo utilize a previsão do montante economizado como justificativa. “A Previdência precisa ser sustentável e compatível com o crescimento econômico inclusivo do país (…). Não existem riscos iminentes de dificuldades financeiras do setor público que não possam ser minimizados com a retomada mais robusta da atividade econômica e uma adequada reforma tributária.”,Os economistas afirmam que a proposta do governo mantém privilégios injustificáveis, como a manutenção da integralidade e paridade das aposentadorias para os militares, dizem que o governo deve recompor a sua participação no financiamento da Previdência Social, desfalcado mediante a retirada de recursos, particularmente em função da chamada Desvinculação das Receitas da União (DRU), e destacam que o orçamento da Seguridade Social, onde está incluída a previdência, não é deficitário, conforme argumento utilizado pelo governo para “impressionar a opinião pública”.,“Esses efeitos também não devem ser compensados por medidas que aumentem as desigualdades, tais como elevações intempestivas de idades e tempos de contribuição mínimos e reduções nos valores das aposentadorias por invalidez, pensões por morte, benefícios previdenciários acumulados – quando incidentes sobre os estratos de menores rendas – e benefícios de prestação continuada.” A retirada da obrigatoriedade de recolhimento de FGTS e de pagamento de multa de 40% do FGTS, em demissões sem justa causa para trabalhadores já aposentados são outras medidas que, segundo os economistas, contribuem para o aumento das desigualdades.,Já a proposta de capitalização da Previdência, com a criação de contas individuais para a contribuição previdenciária, resultaria no “empobrecimento em massa” da população. A medida estabelece piso de um salário mínimo, que seria garantido por um “fundo solidário”, mas impede a transferência de recursos públicos. Logo, o fundo seria alimentado com recursos dos próprios contribuintes, mas não apenas os de maiores salários.,Eles citam estudo da Organização Internacional do Trabalho (OIT) que constatou o fracasso do sistema de capitalização na maioria dos países adotados, inclusive o Chile, que aparece como referência. “A melhor solução é manter o atual sistema, com modelo de repartição simples obrigatório até o teto e modelo de capitalização facultativo complementar. Para os servidores públicos com aposentadoria acima do teto, sem consistência atuarial, apoiamos elevações de contribuições e do tempo para acesso.”","Reforma da Previdência não pode ser feita aumentando a desigualdade, alertam economistas",https://www.diariodocentrodomundo.com.br/reforma-da-previdencia-nao-pode-ser-feita-aumentando-a-desigualdade-alertam-economistas/
6,Pedro Zambarda de Araujo,2019-03-25T20:05:23+00:00,Destaques,N/A,,VÍDEO - Clipe da campanha pelo Nobel da Paz de Lula,https://www.diariodocentrodomundo.com.br/video-clipe-da-campanha-pelo-nobel-da-paz-de-lula/
7,Diario do Centro do Mundo,2019-03-25T18:52:02+00:00,Destaques,N/A,"“Vai quebrar o recorde do Jânio”, respondeu de bate-pronto o internauta Cecel Peixoto, no final da noite de domingo, assim que publiquei um post no Facebook com este título: “Em resumo: começou a contagem regressiva de um governo que está se auto-imolando”.,Tem cada vez mais gente nas redes sociais achando que Jair Bolsonaro está reprisando a passagem errática e fulminante do ex-presidente Jânio Quadros pelo Palácio do Planalto, que durou apenas 6 meses, em 1961, abrindo uma crise institucional que, três anos depois, desaguou no golpe militar.,Como brasileiro esquece tudo muito rápido, aqui as crises costumam se repetir, ao mesmo tempo, como farsa e tragédia.,Mas eu me lembro muito bem da primeira das muitas entrevistas do general Hamilton Mourão à Globo News, ainda como candidato a vice de Bolsonaro, no dia 7 de setembro do ano passado.,Ao responder a uma pergunta de Merval Pereira, Mourão admitiu que, “em situação hipotética de anarquia”, pode haver um “autogolpe do presidente com apoio das Forças Armadas”.,Naquela ocasião, o vice general acrescentou que não acreditava que isso pudesse ocorrer.,O que Mourão diria hoje, sete meses depois daquela entrevista, com a anarquia generalizada imperando no governo Bolsonaro, antes de completar 100 dias de mandato?,Pelo andar desembestado da carruagem bolsonarista, as previsões sobre o futuro do governo são cada vez mais sombrias, nesta semana em que os militares comemoram os 55 anos da “revolução democrática” de 1964, o novo nome que deram ao golpe militar.,Para quem gosta de comparações, há muitas semelhanças no modo de governar e também enormes diferenças nas biografias de Jânio e Bolsonaro.,Jânio gostava de governar pelos famosos “bilhetinhos” enviados a seus ministros.,Bolsonaro prefere o Twitter para se comunicar diretamente com seus seguidores.,Jânio causou escândalo ao condecorar Che Guevara e manter relações com a China.,Bolsonaro envergonhou o país ao prestar abjeta vassalagem a Donald Trump.,Para os dois, esse negócio de articulação política, base aliada e negociação com partidos é bobagem, o que os levou a entrar precocemente em confronto com o Congresso Nacional.,Jânio, antes de chegar ao Planalto, foi vereador, deputado, prefeito e governador de São Paulo, numa longa e vitoriosa trajetória polícia.,Bolsonaro passou 28 anos no baixo clero da Câmara como líder sindical dos militares, depois de ter sido reformado pelo Exército, aos 33 anos, por atos de indisciplina.,Era apenas uma figura folclórica, sem nunca ter exercido qualquer cargo executivo ou de liderança.,Antes de ser político, Jânio, que também era uma figura folclórica, foi professor de Português e tinha uma intensa vida intelectual, tendo publicado vários livros, inclusive dicionários, que tanta falta fazem aos atuais ocupantes do poder.,Por isso, e com razão, muita gente acha injusto fazer qualquer comparação entre os dois.,Só que a velocidade dos fatos burlescos e beligerantes, cometidos pela nova ordem bolsonariana em menos de três meses de poder, nos levam inevitavelmente a recordar a brevíssima passagem de Jânio Quadros por Brasília.,Até hoje há inúmeras versões e controvérsias sobre as razões da sua renúncia _ entre elas, a de que Jânio tentou dar um autogolpe para fechar o Congresso e o Supremo, e voltar nos braços do povo como imperador.,Nas hostes mais radicais do bolsonarismo, a começar pelos filhos do presidente, como sabemos, tem muitos namorando com esta ideia.,Há também quem atribua o ato de renúncia de Jânio apenas a um porre, já que Jânio tinha fama de bom copo.,A diferença aqui é que Jair Bolsonaro não bebe. É viciado apenas no uso do celular, um perigo.,Vida que segue.",Será que Bolsonaro poderá bater o recorde da renúncia de Jânio? Por Ricardo Kotscho,https://www.diariodocentrodomundo.com.br/sera-que-bolsonaro-podera-bater-o-recorde-da-renuncia-de-janio-por-ricardo-kotscho/
8,Pedro Zambarda de Araujo,2019-03-25T18:27:37+00:00,N/A,N/A,,Reforma da Previdência. Por Amarildo Lima,https://www.diariodocentrodomundo.com.br/reforma-da-previdencia-por-amarildo-lima/
9,Diario do Centro do Mundo,2019-03-25T18:24:28+00:00,Brasil,N/A,"Desde que despontou na televisão, a apresentadora e , de cozinha especializada em culinária natural, Bela Gil, tem seu nome associado a alguma polêmica. Seja por servir melancia como “churrasco”, por escovar os dentes com cúrcurma em vez de pasta de dente, ou por declarar que comeu a placenta do filho mais novo após o parto.,Pouco a pouco, as polêmicas deixaram de envolver apenas seus hábitos de vida, considerados peculiares. A cada dia, Bela tem assumido um discurso mais politizado. Durante as eleições presidenciais de 2018, se posicionou de maneira explícita nas redes sociais – e não deixou de fazê-lo, após a vitória de Jair Bolsonaro (PSL).,“As pessoas às vezes falam: ‘Adoro sua comida, mas fiquei muito triste em saber da sua posição política’. Ou, quando posto alguma coisa que tem a ver com a política, dizem: ‘Que decepção! Estou aqui para ler sobre alimentação e não sobre política’. Mas, no caso, uma coisa está totalmente relacionada à outra. Não é por uma questão pessoal com o Bolsonaro, é um fato. Eu tenho que falar, tenho que avisar a população que o governo dele aprovou o uso de mais de 80 agrotóxicos em duas semanas, por exemplo. É o meu papel”, afirma.,Bela recebeu a reportagem do Brasil de Fato na casa do pai, o cantor e compositor Gilberto Gil, no Rio de Janeiro (RJ), horas antes do lançamento de seu quinto livro. A publicação “Da raiz à flor” traz receitas com casca de melancia, com semente de mamão, com folhas de couve-flor e ramas da cenoura. A ideia, segundo a apresentadora, é ensinar as pessoas a utilizarem partes dos alimentos que são descartadas e, assim, debater o desperdício.,Por outro lado, ela reconhece que existe um problema sistêmico, relacionado ao acesso à terra e ao modo de produção dos alimentos: “Reforma agrária mais agroecologia é igual a alimentação democrática. Sem isso, fica muito difícil”.,Bela acredita que sua cozinha está cada vez mais política – segundo a apresentadora, é impossível separar os dois aspectos. “Ainda mais no momento extremo que estamos, de um governo fascista, com a democracia ameaçada, com o ódio pairando no ar. Apesar de eu não gostar de me rotular, atualmente eu acho necessário. Então, hoje eu sou totalmente ‘Lula livre’, sou totalmente de esquerda, sou feminista. Sou essa pessoa hoje, porque acho que é uma forma de a gente juntar forças e, de uma maneira ou de outra, tentar achar o caminho do meio”, explica.,Confira a entrevista completa:,Venho trabalhando com culinária há muitos anos, e depois de 10 temporadas do programa “Bela Cozinha” [no canal GNT] eu decidi focar na questão do desperdício para poder chamar atenção das pessoas para esse problema. Cerca de um terço da comida produzida no mundo é desperdiçada, e quando a gente fala de frutas, legumes e verduras, esse número pode chegar a 50%. É muita coisa jogada fora!,Esse desperdício acontece, em grande parte, em casa. Talvez com mais educação e mudança de cultura, nós, os consumidores possamos melhorar. Mas eu sei que é um problema sistêmico: a gente tem quase um milhão de pessoas passando fome no mundo e uma produção excedente de alimentos. Por que a comida não chega na boca de quem está com fome? É sistêmico, mas eu decidi falar na prática o que a gente pode fazer quanto a isso. Então, eu quis fazer essas receitas com parte de plantas e alimentos que iriam para o lixo.,Também tem a questão da economia. Muita gente fala que comer saudável é caro. Eu concordo, até certo ponto. Quando a gente fala de comida “limpa”, comida orgânica, a questão econômica influencia bastante. Mas, se você pagar um pouco mais na banana orgânica, não jogando a casca dela fora, você está basicamente gastando o mesmo dinheiro de uma banana com veneno, porque você só comeria parte dela.,Eu diria que é um mito, mas tem também um fundo de verdade. A gente vive em um sistema em que oferta e demanda vão influenciar o preço final do alimento orgânico. Hoje ainda é muito escasso, então claramente o valor do orgânico vai ser mais caro, e o custo para se fazer alimento orgânico é muito maior.,Na agroecologia, você produz mais por hectare do que na produção convencional, isso é fato. E o sistema insiste em falar para a gente o contrário, dizendo que a gente precisa de veneno para alimentar o mundo. As pessoas precisam entender que, quando está comprando alimento orgânico, agroecológico, está investimento na própria saúde, mas também no meio ambiente, na saúde da terra, na saúde social também.,De fato, o orgânico ainda é mais caro por esses motivos. A gente precisa se conscientizar e entender que, a gente pagando esse preço, é muito mais que só um alimento. Mas, claro, não é todo mundo que pode fazer esse investimento hoje em dia.,Para democratizar a alimentação saudável no Brasil, não tem outra resposta a não ser a reforma agrária. É imprescindível que a gente tenha uma distribuição de terras democrática.,A comida vem da terra. Se a gente não democratizar a terra, como vamos ter alimentação democrática? Impossível. No Brasil, 46% das terras cultiváveis estão nas mãos de 1% da população. É uma desproporção enorme. Então, para democratizar a alimentação é preciso que a gente democratize o espaço no qual a gente planta a comida, que é a terra.,Com certeza absoluta. A agricultura convencional produz menos por hectare do que a agroecologia, só que a agroecologia só funciona em pequena escala. Monoculturas gigantes não funcionam no princípio da agroecologia. Na verdade, é o oposto disso. Precisamos de uma melhor distribuição de terras para que a gente precise implementar a agroecologia na produção de alimentos.,A gente precisa de espaços menores de terra para produzir mais tipos diferentes de alimentos e, com isso, produzir com mais abundância. Isso a agroecologia já comprova. Se você pega por hectare, a agroecologia produz mais. Acho que a matemática é a seguinte: reforma agrária mais agroecologia é igual a alimentação democrática. Sem isso, fica muito difícil.,Em uma das últimas entrevistas que eu dei, me perguntaram sobre o governo atual e eu respondi que queria muito ouvir mais do presidente e suas posições em relação a isso, porque não se fala. A gente vê a aprovação de mais de 80 agrotóxicos em poucos dias de governo, a extinção do Consea [Conselho Nacional de Segurança Alimentar], e tudo isso faz com a gente fique desestimulada.,Estamos realmente andando para trás, e isso é muito triste. Quem está ganhando com a liberação de agrotóxicos não é a população. Eu sempre falo: quem nos alimenta hoje é quem nos medica. Eles nos alimentam com veneno para inventar um remédio novo para medicar a população. É um ciclo que poderia ser interrompido se a gente desse ênfase ao que falei anteriormente: reforma agrária, agroecologia, educação alimentar. A gente tem políticas públicas incríveis. A questão mesmo é a vontade dos políticos de colocá-las em prática.,A gente está no Congresso com dois pesos e duas medidas: o Pacote do Veneno de um lado e a PNaRA [Política Nacional de Redução dos Agrotóxicos] de outro. A gente precisa fazer pressão para que o PNaRa seja aprovado, e fazer com que o PL do veneno seja reprovado. É o que a gente consegue fazer para estabilizar essa situação. Se a gente tiver o PNaRa não aprovado e o PL do veneno aprovado, estaremos realmente indo por água abaixo.,Muita gente não sabe que a gente tem esses projetos na Câmara, não sabem o que podem fazer enquanto indivíduos, como melhorar esse quadro. Muita gente fala que queria comer melhor e não consegue, não pode. A gente precisa estimular a população a enxergar isso como prioridade.,Acredito que a alimentação é a base da nossa vida. Se a gente não presta atenção nisso no cenário político, a gente não está prestando atenção na vida.,Minha vontade sempre foi de transformar de baixo para cima. A força somada de “um mais um” é o que pode provocar mudança. Recentemente, eu percebi a necessidade de uma mudança global do sistema para que isso aconteça. Essa mudança de cima para baixo está parada. Nada vai mudar de bom de cima para baixo, então a força que precisamos fazer individualmente é muito grande.,A responsabilidade social de uma pessoa privilegiada que pode investir em produtos orgânicos, que pode investir em uma boa alimentação, que pode comprar direto do produtor, deve ser assumida. Não adianta falar que quer mudança se você não mudar. O mínimo que você pode fazer já é alguma coisa.,O que a gente pode fazer hoje é dar a mão para quem está ao lado e fazer a mudança acontecer de baixo para cima, porque de cima para baixo não tenho esperança. A gente vai ter que esperar pelo menos quatro anos para tentar mudar.,Eu ficava receosa de falar isso, mas agora, vendo em retrospectiva, não me incomodo em falar que é uma cozinha revolucionária, porque eu vejo e sinto que as pessoas vêm mudando. Antigamente, você falava disso e era taxado de natureba, ,e esquerdista. Agora é “cool”. Tem gente de todos os tipos, todas as raças, as classes. Ser vegano, vegetariano, comer consciente, não está dentro de uma caixinha só. Todo mundo pode ser assim – da esquerda à direita. Enfim, isso é algo que eu sinto, a revolução.,Eu venho falando para um público muito extenso, não só um tipo. A demanda também mudou. No mercado, você vê óleo de coco, linhaça, painço, até leite de amêndoa de caixinha. Eu comecei na tevê fazendo leite da própria amêndoa. Eu acho que a revolução é essa: uma coisa muito assustadora, que depois de um tempo se torna natural.,Isso é revolução, mas não basta para mim: eu quero muito mais.,Sempre falo que minha cozinha está cada vez mais política. Sempre foi culinária consciente, baseada na natureza, mas é essencialmente política. Eu uso a cozinha e encaro o ato de comer e cozinhar como um ato revolucionário. É um ato de transformação positiva para a população e permeia tudo: uma mudança cultural, social, ambiental, tudo isso. Posso dizer que a minha culinária é revolucionária.,Segundo Bela Gil, se reconhecer como feminista não foi automático: “Eu fui lendo mais e entendendo sobre. Eu entendi que as coisas que eu fazia por intuição, por amor à minha feminilidade, eram atitudes feministas”. (Foto: José Eduardo Bernardes),A polêmica me ajudou muito, porque carregou uma mensagem. Talvez, se não tivesse a polêmica, não teria uma força tão grande. Então, agradeço pelas polêmicas, porque ampliaram a minha voz. Muitas pessoas me conheceram por causa do meme do “churrasco de melancia”. Então, só tenho a agradecer.,Eu acho que quem faz a polêmica não sou eu: são as outras pessoas. Entendi também que muita coisa que era natural para mim, não era para as pessoas. Colocar melancia na grelha para mim, eu sempre fiz, meus amigos comem e acham a coisa mais maravilhosa, é normal. Entendi que não era normal para muita gente.,Eu comi minha placenta e tenho várias amigas que comeram, ou fizeram cápsula para tomar a placenta. Tenho amigas que usam o copinho [no lugar do absorvente], enfim, coisas no meu entorno que eram muito naturais. Quando eu falava isso, eu via uma reação de espanto, medo, nojo, uma reação negativa muito grande. Entendi que um dia isso também foi surpresa para mim, então, o que eu estou falando hoje pode e é surpresa para muita gente.,Talvez tenha mudado minha forma de comunicar, me fazendo entender de que tudo isso possa causar polêmica, só por ser diferente. Mas as polêmicas me ajudaram muito.,Eu acho que sim, porque essa questão de gênero na culinária e na cozinha sempre foi muito machista. Os chefes renomados são sempre homens, já a cozinha do dia a dia sempre esteve na mão da mulher, tendo como referência figuras como a Palmirinha, Ana Maria Braga, mulheres que estão sempre a disposição para cozinhar.,Isso tem mudado, não só com o meu programa. A cozinha ficou ,para homem e PARA mulher. Não tem mais “menina não pode ser ,de restaurante” e nem “menino não pode fazer comida para a família”. Eu não daria crédito para mim e meu programa, mas para a revolução da culinária no cenário mundial.,Eu fui me descobrindo feminista ao longo do meu trabalho. Meu marido sempre falou isso para mim. Eu tenho um problema com rótulos, mas ele foi me convencendo. Eu fui lendo mais e entendendo sobre. Eu entendi que as coisas que eu fazia por intuição, por amor à minha feminilidade, eram atitudes feministas.,Eu tive meu filho em casa, comi minha placenta, larguei o absorvente, fiz uma marca de calcinhas de pano, fiz questão de compartilhar o momento do meu parto com outras mulheres para mostrar que ter um filho naturalmente é possível, bacana, não é todo esse terror que as pessoas colocam. Escrevi um livro sobre maternidade. Falo isso na questão da cozinha.,A primeira onda do feminismo que falava que a mulher tinha que sair de casa, não servir aos maridos… Hoje em dia, lugar de mulher é onde ela quiser. Eu me sinto muito bem cozinhando para a minha família. Do mesmo jeito que meu marido faz questão de trocar a lâmpada quando queima: não é uma questão de gênero, é preferência. Eu fui entendendo que se sentir bem com você mesma, sua profissão, seu corpo, não ter vergonha, não ter medo, são atitudes feministas. Então, eu falei: “Sou essa pessoa”.,Eu nunca gostei de me rotular, mas eu entendo que, para uma mudança, o radicalismo é importante. Eu mudei minha alimentação muito jovem. Era uma criança normal, que comida balas, chicletes, biscoitos recheados, o que a gente chama na cultura alimentar de “comida de criança”. Mudei minha alimentação na adolescência radicalmente. Hoje, eu posso dizer que sou uma pessoa muito mais flexível. Tenho consciência do que estou comendo. Ganhei consciência sobre minha alimentação.,Ter uma alimentação mais radical por um período é necessário para entender como você era antes e onde você quer chegar. Para achar o caminho do meio, é preciso entender os extremos. No Brasil, estamos passando por um momento extremo, de um governo fascista, com a democracia ameaçada, com o ódio pairando no ar. Hoje, apesar de eu não gostar de me rotular, acho necessário.,Em momentos de crise, acho que é escolha individual, mas eu preciso me rotular. Então, hoje eu sou totalmente “Lula livre”, sou totalmente de esquerda, sou feminista. Sou essa pessoa hoje porque acho que é forma de a gente juntar forças e, de uma maneira ou de outra, tentar achar o caminho do meio. Para a mudança, a crise é necessária. Não tem uma revolução, ou uma mudança, sem uma crise. Isso é história.,Sempre vai ter um peso, mas a gente precisa entender o que vale mais. Seus valores? Seu amor a sua família? Seu amor à humanidade? A valorização do afeto, do meio ambiente da natureza? Isso tudo prevalece, e muito, em relação a um trabalho, contrato, seguidores. Prefiro estar no bolo do amor do que viver em cima do muro para ganhar mais dinheiro, seguidores, etc. Não é o que quero.,Com certeza. Desde outubro, não sei quantos seguidores perdi no Instagram! Em relação a trabalho, sou muito coerente. Ninguém que me contratasse pensaria que eu estou apoiando o governo atual. As pessoas sabem quem eu sou. Sou muito transparente em relação às minhas posições.,As pessoas às vezes falam: “Adoro sua comida, mas fiquei muito triste em saber da sua posição política”. Ou, quando posto alguma coisa que tem a ver com a política, falam: “Que decepção! Estou aqui para ler sobre alimentação e não sobre política”. Mas, no caso, uma coisa está totalmente relacionada a outra. Não é por uma questão pessoal com o Bolsonaro, é um fato. Eu tenho que falar, tenho que avisar a população que o governo dele aprovou o uso de mais de 80 agrotóxicos em duas semanas. É o meu papel. Não é porque é eleitor do Bolsonaro que tem que ficar chateado comigo.,Eu acho que as pessoas já esperam a minha posição. Isso é importante também. Se eu falo de comida sem veneno, como vou apoiar um governo que apoia a flexibilização da lei de agrotóxicos? Seria incoerente.,São as propostas, é tudo o que ele representa. Eu faria as mesmas críticas em relação a agrotóxicos, reforma agrária, alimentação, independentemente de quem estivesse no poder.","Bela Gil: “Hoje sou totalmente ‘Lula livre’, de esquerda e feminista”. Por Mariana Pitasse e José Eduardo Bernardes",https://www.diariodocentrodomundo.com.br/bela-gil-hoje-sou-totalmente-lula-livre-de-esquerda-e-feminista-por-mariana-pitasse-e-jose-eduardo-bernardes/
10,Diario do Centro do Mundo,2019-03-25T18:07:14+00:00,Brasil,N/A,"O professor de português Marcos Antônio Tavares da Silva, do colégio Liceu de Humanidades de Campos dos Goytacazes, no interior do Rio de Janeiro, começou a receber ameaças virtuais depois que trabalhou em sala de aula com uma charge que ironiza a relação entre o presidente Jair Bolsonaro (PSL) e o presidente estadunidense Donald Trump. Na imagem, os políticos aparecem juntos na cama, com uma bandeira dos Estados Unidos (EUA) ao fundo, e Bolsonaro prestando continência.,Segundo Silva, o material foi divulgado por um dos alunos em um grupo denominado “Direita Campista de Campos”. Depois disso, o professor passou a receber ameaças virtuais e viveu “um dia infernal”. Ele afirmou que a charge, utilizada em uma aula do 3º ano do ensino médio, foi postada na rede social de maneira descontextualizada, dando à charge uma conotação sexual equivocada. “Quem vê as imagens ali entende [que são] figuras de linguagem, de ironia, de deboche, de metáfora. Vai ver que aquilo trata-se da subserviência do Brasil com o governo americano”, disse.,O professor explicou que a proposta era que os alunos identificassem essas figuras de linguagem e disse que utiliza esse tipo de material toda semana. “Eu acho que é um texto completo, é um texto que obriga o aluno a estar dentro, situado dentro do contexto político, econômico, social e cultural, devido à natureza do próprio texto”.,Silva completou dizendo que não houve qualquer tipo de doutrinação: “O aluno fica à vontade para ser contra, para ser a favor da charge, e apenas argumentar”. Informou ainda que vai processar as pessoas que o ameaçaram e alertou para que outros professores tomem cuidado, pois, segundo ele, alunos que fazem parte desse grupo estão em “diversas escolas do estado”.,Um documento divulgado nas redes sociais informa que o professor teria procurado atendimento na Comissão de Educação da Assembleia Legislativa do Rio de janeiro (Alerj). No relato, Silva teria recebido uma ligação da diretora adjunta da unidade dizendo que ele havia sido afastado a pedido do governador [Wilson Witzel (PSC)]. Depois, teria havido outra ligação da direção da unidade falando que o afastamento se restringiria ao dia 22 para “acalmar os ânimos”. Em áudio divulgado no Whatsapp, o professor nega que tenha sido afastado.,A secretaria de educação do Rio de Janeiro e a direção do colégio não responderam sobre o assunto até o fechamento desta reportagem.",Professor de português recebe ameaças após usar charge sobre Bolsonaro e Trump em sala de aula,https://www.diariodocentrodomundo.com.br/professor-de-portugues-recebe-ameacas-apos-usar-charge-sobre-bolsonaro-e-trump-em-sala-de-aula/
